case_id,operator_id,operator,hardware,method,status,reason,latency_us,mode
train:matmul|modeling:Adevice03_Server|method3,train:matmul,MatMul,modeling:Adevice03_Server,method3,not_connected,尚未配置评估组件,,
train:matmul|modeling:Adevice03_Server|method4,train:matmul,MatMul,modeling:Adevice03_Server,method4,not_connected,尚未配置评估组件,,
train:matmul|modeling:B200_POD|profile,train:matmul,MatMul,modeling:B200_POD,profile,not_connected,尚未接入实测参考,,
train:matmul|modeling:B200_POD|roofline,train:matmul,MatMul,modeling:B200_POD,roofline,succeeded,,0.32767999999999997,roofline
train:matmul|modeling:B200_POD|tilesim,train:matmul,MatMul,modeling:B200_POD,tilesim,unsupported,TileSim 的 GB200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:matmul|modeling:B200_POD|method3,train:matmul,MatMul,modeling:B200_POD,method3,not_connected,尚未配置评估组件,,
train:matmul|modeling:B200_POD|method4,train:matmul,MatMul,modeling:B200_POD,method4,not_connected,尚未配置评估组件,,
train:matmul|modeling:B200_Server|profile,train:matmul,MatMul,modeling:B200_Server,profile,not_connected,尚未接入实测参考,,
train:matmul|modeling:B200_Server|roofline,train:matmul,MatMul,modeling:B200_Server,roofline,succeeded,,0.32767999999999997,roofline
train:matmul|modeling:B200_Server|tilesim,train:matmul,MatMul,modeling:B200_Server,tilesim,unsupported,TileSim 的 GB200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:matmul|modeling:B200_Server|method3,train:matmul,MatMul,modeling:B200_Server,method3,not_connected,尚未配置评估组件,,
train:matmul|modeling:B200_Server|method4,train:matmul,MatMul,modeling:B200_Server,method4,not_connected,尚未配置评估组件,,
train:matmul|modeling:B300_POD|profile,train:matmul,MatMul,modeling:B300_POD,profile,not_connected,尚未接入实测参考,,
train:matmul|modeling:B300_POD|roofline,train:matmul,MatMul,modeling:B300_POD,roofline,succeeded,,0.32767999999999997,roofline
